kind,item,category,segment,estimate,se,boundary,lo,hi,segment_label
rho,home_internet,2,4,0.7952085369461704,0.0645894566201727,FALSE,0.638179981487008,0.895271048472141,Government-Dependent Vulnerable Segment
rho,ran_out_food,1,1,0.20379714680398614,0.06158446692628409,FALSE,0.10737107134800027,0.35261198315929443,High Vulnerability and Insecurity
rho,ran_out_food,2,1,0.7962028531960139,0.06158446692628406,FALSE,0.6473880168407057,0.8926289286519997,High Vulnerability and Insecurity
rho,ran_out_food,1,2,0.8358930522801669,0.026749932864753852,FALSE,0.7755612667843831,0.8824647407798565,"Secure Assets, High Instability"
rho,ran_out_food,2,2,0.16410694771983306,0.02674993286475384,FALSE,0.11753525922014339,0.2244387332156169,"Secure Assets, High Instability"
rho,ran_out_food,1,3,0.6524723299716304,0.09574594605241475,FALSE,0.4476379024636897,0.8130677277785693,Economically Strained and Insecure
rho,ran_out_food,2,3,0.34752767002836954,0.09574594605241481,FALSE,0.1869322722214306,0.5523620975363103,Economically Strained and Insecure
rho,ran_out_food,1,4,0.5074753366304089,0.0795573311522773,FALSE,0.3535628942378898,0.6599837202890968,Government-Dependent Vulnerable Segment
rho,ran_out_food,2,4,0.4925246633695912,0.07955733115227724,FALSE,0.34001627971090337,0.6464371057621103,Government-Dependent Vulnerable Segment
rho,water_worry,1,1,0.26953766300644844,0.04612311061715159,FALSE,0.18799717958322182,0.3703158097456185,High Vulnerability and Insecurity
rho,water_worry,2,1,0.7304623369935515,0.04612311061715153,FALSE,0.6296841902543815,0.812002820416778,High Vulnerability and Insecurity
rho,water_worry,1,2,0.7199497140702616,0.03142870101608002,FALSE,0.653409805452426,0.7780541961447048,"Secure Assets, High Instability"
rho,water_worry,2,2,0.28005028592973846,0.031428701016079995,FALSE,0.22194580385529525,0.34659019454757406,"Secure Assets, High Instability"
rho,water_worry,1,3,0.5979611806619025,0.07839309338804662,FALSE,0.43737099838447696,0.7399662249700366,Economically Strained and Insecure
rho,water_worry,2,3,0.40203881933809743,0.07839309338804669,FALSE,0.2600337750299633,0.5626290016155231,Economically Strained and Insecure
rho,water_worry,1,4,0.4806519238405096,0.0752746421040308,FALSE,0.3368371308897399,0.6277459875646882,Government-Dependent Vulnerable Segment
rho,water_worry,2,4,0.5193480761594905,0.07527464210403091,FALSE,0.3722540124353116,0.6631628691102603,Government-Dependent Vulnerable Segment
rho,own_finances,1,1,0.05538098659949359,0.019951576288597336,FALSE,0.026716987907724876,0.11128170721505842,High Vulnerability and Insecurity
rho,own_finances,2,1,0.0920672297949,0.0403640895833681,FALSE,0.03734756365659849,0.20951062176406934,High Vulnerability and Insecurity
rho,own_finances,3,1,0.8525517836056065,0.0370760552428122,FALSE,0.7627687370975025,0.9122637820311613,High Vulnerability and Insecurity
rho,own_finances,1,2,0.11311518775957338,0.016595488374450133,FALSE,0.08405747051970189,0.150566601154705,"Secure Assets, High Instability"
rho,own_finances,2,2,0.5358548357807115,0.029176501786089062,FALSE,0.47757938059143334,0.5931673233539113,"Secure Assets, High Instability"
rho,own_finances,3,2,0.3510299764597152,0.030915107616543622,FALSE,0.29224012601683197,0.4147166078140518,"Secure Assets, High Instability"
rho,own_finances,1,3,0.044342265396664846,0.01874895472839808,FALSE,0.01887645039037483,0.10063943825413338,Economically Strained and Insecure
rho,own_finances,2,3,0.31320500127084727,0.04409425824216324,FALSE,0.23271609294574078,0.4067738845023827,Economically Strained and Insecure
rho,own_finances,3,3,0.6424527333324878,0.049636274169607815,FALSE,0.5389420717205204,0.7341862681178183,Economically Strained and Insecure
rho,own_finances,1,4,0.0851260595760888,0.03219662423539479,FALSE,0.03927047877419199,0.17478514662499797,Government-Dependent Vulnerable Segment
rho,own_finances,2,4,0.3526663659153697,0.06765605227790956,FALSE,0.23201007756458772,0.49557938895772385,Government-Dependent Vulnerable Segment
rho,own_finances,3,4,0.5622075745085414,0.07538864416081953,FALSE,0.4111275127264203,0.7025684561498432,Government-Dependent Vulnerable Segment
rho,feel_unsafe,1,1,0.025207396347266483,0.01522372797113657,FALSE,0.007481517144079679,0.08148311124675409,High Vulnerability and Insecurity
rho,feel_unsafe,2,1,0.15466567188017225,0.028997625392407217,FALSE,0.10529228818742747,0.22146043909309318,High Vulnerability and Insecurity
rho,feel_unsafe,3,1,0.29039085184757424,0.03127874822218034,FALSE,0.23227602073073897,0.35629781642769054,High Vulnerability and Insecurity
rho,feel_unsafe,4,1,0.529736079924987,0.04574100364236697,FALSE,0.4387471329523569,0.6187905791527596,High Vulnerability and Insecurity
rho,feel_unsafe,1,2,0.08251179958325246,0.012511068130894159,FALSE,0.0607952631603424,0.1110682872262433,"Secure Assets, High Instability"
rho,feel_unsafe,2,2,0.3574596347541768,0.024281427933979083,FALSE,0.31072076510343927,0.4070769069453594,"Secure Assets, High Instability"
rho,feel_unsafe,3,2,0.2800172619144095,0.01753890622267128,FALSE,0.24648100862059577,0.31620169866437314,"Secure Assets, High Instability"
rho,feel_unsafe,4,2,0.2800113037481612,0.02560535337540534,FALSE,0.23198960192913953,0.3336549269750783,"Secure Assets, High Instability"
rho,feel_unsafe,1,3,0.12192075765167347,0.02673483726820969,FALSE,0.077898779725979,0.18580738996433357,Economically Strained and Insecure
rho,feel_unsafe,2,3,0.26111038177467377,0.039001374838591285,FALSE,0.19117046277931085,0.345701511617501,Economically Strained and Insecure
rho,feel_unsafe,3,3,0.30250254917370767,0.041154383777984464,FALSE,0.22732178399844263,0.3899976274658406,Economically Strained and Insecure
rho,feel_unsafe,4,3,0.314466311399945,0.0418957146644913,FALSE,0.2375787067870925,0.4030816802453489,Economically Strained and Insecure
rho,feel_unsafe,1,4,0.08702433115748072,0.03366048680311569,FALSE,0.039411900859363094,0.18129992738332748,Government-Dependent Vulnerable Segment
rho,feel_unsafe,2,4,0.2281394918789142,0.05166908266040462,FALSE,0.1415272444120699,0.34637076701177316,Government-Dependent Vulnerable Segment
rho,feel_unsafe,3,4,0.3558102215454574,0.05623533885156927,FALSE,0.2531739871844545,0.47366528244204187,Government-Dependent Vulnerable Segment
rho,feel_unsafe,4,4,0.3290259554181478,0.05424509398088714,FALSE,0.2312117500022127,0.444305569263106,Government-Dependent Vulnerable Segment
rho,crime_victim,1,1,0.6474780589028074,0.07954711497482522,FALSE,0.47865041091859667,0.7860695644604343,High Vulnerability and Insecurity
rho,crime_victim,2,1,0.35252194109719254,0.07954711497482515,FALSE,0.2139304355395657,0.5213495890814032,High Vulnerability and Insecurity
rho,crime_victim,1,2,0.37596167959089266,0.032068686735531086,FALSE,0.3146026647832606,0.4415778580260503,"Secure Assets, High Instability"
rho,crime_victim,2,2,0.6240383204091074,0.03206868673553111,FALSE,0.5584221419739498,0.6853973352167396,"Secure Assets, High Instability"
rho,crime_victim,1,3,0.11138863661584991,0.06053121705922706,FALSE,0.03579787401754762,0.2973692478815051,Economically Strained and Insecure
rho,crime_victim,2,3,0.88861136338415,0.06053121705922708,FALSE,0.7026307521184947,0.9642021259824523,Economically Strained and Insecure
rho,crime_victim,1,4,0.32470571360226047,0.05668311829855235,FALSE,0.2232935386034635,0.44574364157952845,Government-Dependent Vulnerable Segment
rho,crime_victim,2,4,0.6752942863977396,0.05668311829855227,FALSE,0.5542563584204718,0.7767064613965364,Government-Dependent Vulnerable Segment
rho,govt_aid,1,1,0.01466170742926434,0.015408542625162069,FALSE,0.0017790470318788023,0.11050482137493883,High Vulnerability and Insecurity
rho,govt_aid,2,1,0.9853382925707357,0.01540854262516207,FALSE,0.889495178625061,0.9982209529681212,High Vulnerability and Insecurity
rho,govt_aid,1,2,0.021087744422485847,0.00846284719293497,FALSE,0.009438789869402898,0.04643934138169733,"Secure Assets, High Instability"
rho,govt_aid,2,2,0.9789122555775142,0.008462847192935045,FALSE,0.9535606586183024,0.9905612101305973,"Secure Assets, High Instability"
rho,govt_aid,1,3,0.01193495618351595,0.014587047548520376,FALSE,0.0010296873817985026,0.12400005011113621,Economically Strained and Insecure
rho,govt_aid,2,3,0.9880650438164841,0.01458704754852037,FALSE,0.8759999498888634,0.9989703126182015,Economically Strained and Insecure
rho,govt_aid,1,4,0.5771234695175574,0.12159571134949562,FALSE,0.33618112005833906,0.7862237046056882,Government-Dependent Vulnerable Segment
rho,govt_aid,2,4,0.42287653048244245,0.1215957113494956,FALSE,0.21377629539431173,0.6638188799416608,Government-Dependent Vulnerable Segment
rho,cash_transfer,1,1,0.07557323149550448,0.043064010527788424,FALSE,0.023418169247639946,0.21795953990015135,High Vulnerability and Insecurity
rho,cash_transfer,2,1,0.9244267685044956,0.04306401052778848,FALSE,0.7820404600998484,0.97658183075236,High Vulnerability and Insecurity
rho,cash_transfer,1,2,0.06665172935332062,0.017335462534612146,FALSE,0.039401576314737036,0.11057863405841598,"Secure Assets, High Instability"
rho,cash_transfer,2,2,0.9333482706466794,0.017335462534612038,FALSE,0.8894213659415843,0.9605984236852627,"Secure Assets, High Instability"
rho,cash_transfer,1,3,0.22214556678928263,0.05477057868152415,FALSE,0.1319452745010319,0.349202727842667,Economically Strained and Insecure
rho,cash_transfer,2,3,0.7778544332107173,0.05477057868152421,FALSE,0.6507972721573329,0.8680547254989681,Economically Strained and Insecure
rho,cash_transfer,1,4,0.9510192070329603,0.07596138109608676,FALSE,0.4308208307314633,0.9979962218305277,Government-Dependent Vulnerable Segment
rho,cash_transfer,2,4,0.04898079296703966,0.07596138109608679,FALSE,0.002003778169472231,0.5691791692685375,Government-Dependent Vulnerable Segment
rho,emigrate,1,1,0.6167123848697121,0.05870152551834133,FALSE,0.49537608214367074,0.7250657587029885,High Vulnerability and Insecurity
rho,emigrate,2,1,0.38328761513028786,0.05870152551834142,FALSE,0.27493424129701133,0.5046239178563294,High Vulnerability and Insecurity
rho,emigrate,1,2,0.4385611453544275,0.025005630926411063,FALSE,0.3895823727072605,0.48876708447698336,"Secure Assets, High Instability"
rho,emigrate,2,2,0.5614388546455726,0.025005630926411105,FALSE,0.5112329155230166,0.6104176272927397,"Secure Assets, High Instability"
rho,emigrate,1,3,0.11161005539647427,0.06463512257470368,FALSE,0.033200753015957665,0.3148846282629997,Economically Strained and Insecure
rho,emigrate,2,3,0.8883899446035258,0.06463512257470368,FALSE,0.6851153717370003,0.9667992469840423,Economically Strained and Insecure
rho,emigrate,1,4,0.3350373640133447,0.06059684022746538,FALSE,0.22676447907306102,0.46398601497923986,Government-Dependent Vulnerable Segment
rho,emigrate,2,4,0.6649626359866554,0.06059684022746529,FALSE,0.5360139850207605,0.7732355209269389,Government-Dependent Vulnerable Segment
